账号名称,直播id,直播标题,开播时间,关播时间,直播时长,峰值人数,平均人数,收获音浪,粉丝音浪,非粉音浪,首次送礼用户音浪,送礼人数,送礼粉丝人数,送礼非粉人数,首次送礼人数,预计收入,曝光人数,观看人数,观看粉丝人数,观看非粉人数,涨粉人数,掉粉人数,加团人数,人均停留时长,粉丝人均停留时长,非粉人均停留时长,评论人数,评论粉丝人数,评论非粉人数,点赞次数,点赞粉丝次数,点赞非粉次数,分享次数,分享粉丝次数,分享非粉次数,曝光分布,观看分布,群内粉丝,群外粉丝,观看率,涨粉率,评论率,送礼率,粉丝观看率,粉丝评论率,粉丝点赞率,粉丝分享率,粉丝送礼率,群内粉丝率,创建时间
"财经葛先生","7634892164518005556","5月咋提前布局？","""2026-05-01T12:01:13.000Z""","""2026-05-01T13:32:24.000Z""",91,907,737,588,584,4,30,374,373,1,21,"29.00",28279,8001,4928,3073,64,6,12,"7.3500","8.1300","1.4500",452,428,24,82034,80870,1164,43,40,3,,,1735,3193,"0.2829","0.0080","0.0565","0.0467","0.6159","0.9469","0.9858","0.9302","0.9973","0.3521","""2026-05-07T07:57:44.000Z"""
"财经葛先生","7634397265251126026","4月收官！5月咋提前布局？","""2026-04-30T04:00:48.000Z""","""2026-04-30T05:01:27.000Z""",60,1175,974,528,526,2,8,338,336,2,5,"26.00",21656,5864,4429,1435,18,6,5,"9.1300","8.4800","1.0000",364,355,9,132009,131205,804,8,8,0,,,1820,2609,"0.2708","0.0031","0.0621","0.0576","0.7553","0.9753","0.9939","1.0000","0.9941","0.4109","""2026-05-07T07:58:20.000Z"""
"财经葛先生","7634154347823188787","美联储议息会议来袭！黄金、A股咋办？","""2026-04-29T12:18:09.000Z""","""2026-04-29T13:16:00.000Z""",57,1214,908,314,312,2,14,204,203,1,13,"15.00",23300,6827,4839,1988,15,2,6,"6.8500","6.0300","0.8200",471,459,12,96101,95627,474,39,38,1,,,0,,"0.2930","0.0022","0.0690","0.0299","0.7088","0.9745","0.9951","0.9744","0.9951","0.0000","""2026-05-07T07:58:57.000Z"""
"财经葛先生","7634026183256394523","黄金、A股反弹！还卖吗？","""2026-04-29T04:00:47.000Z""","""2026-04-29T04:59:24.000Z""",58,1311,1044,785,781,4,13,351,348,3,12,"39.00",22918,6268,4609,1659,18,4,3,"8.8700","8.1700","1.0300",465,454,11,117206,116016,1190,36,35,1,,,0,,"0.2735","0.0029","0.0742","0.0560","0.7353","0.9763","0.9898","0.9722","0.9915","0.0000","""2026-05-07T07:59:33.000Z"""
"财经葛先生","7633775583278205711","黄金、A股节前怎么办？卖吗？","""2026-04-28T11:48:19.000Z""","""2026-04-28T13:28:44.000Z""",100,1686,1200,508,508,0,26,292,292,0,22,"25.00",49383,14572,8309,6263,83,14,14,"7.1200","7.3700","0.8500",728,686,42,103164,102584,580,44,43,1,,,0,,"0.2951","0.0057","0.0500","0.0200","0.5702","0.9423","0.9944","0.9773","1.0000","0.0000","""2026-05-07T08:00:09.000Z"""
"财经葛先生","7633655402496150282","黄金、A股节前怎么办？卖吗？","""2026-04-28T04:02:03.000Z""","""2026-04-28T05:02:21.000Z""",60,1254,1045,897,897,0,9,451,451,0,7,"44.00",20660,5757,4489,1268,13,6,1,"9.9300","9.0500","1.0500",291,285,6,103508,103375,133,36,36,0,,,0,,"0.2787","0.0023","0.0505","0.0783","0.7797","0.9794","0.9987","1.0000","1.0000","0.0000","""2026-05-07T08:00:45.000Z"""
"财经葛先生","7633283906858486537","黄金、A股节前怎么办？卖吗？","""2026-04-27T04:00:17.000Z""","""2026-04-27T04:53:29.000Z""",53,1159,1022,865,865,0,11,513,513,0,7,"43.00",19589,5615,4362,1253,11,7,6,"8.7500","8.1300","0.8500",442,436,6,73466,73278,188,39,39,0,,,0,,"0.2866","0.0020","0.0787","0.0914","0.7768","0.9864","0.9974","1.0000","1.0000","0.0000","""2026-05-07T08:01:21.000Z"""
"财经葛先生","7632294428094384896","倒车接人？还是倒车撞人？","""2026-04-24T12:00:33.000Z""","""2026-04-24T12:55:55.000Z""",55,890,765,332,327,5,7,186,184,2,5,"16.00",21950,6247,4161,2086,22,8,3,"5.9000","5.6000","0.7700",411,401,10,111336,109435,1901,34,32,2,,,1540,2621,"0.2846","0.0035","0.0658","0.0298","0.6661","0.9757","0.9829","0.9412","0.9892","0.3701","""2026-04-24T14:18:55.000Z"""
"财经葛先生","7632170456398383915","倒车接人？还是倒车撞人？","""2026-04-24T03:59:44.000Z""","""2026-04-24T04:55:44.000Z""",56,1632,1333,615,614,1,13,389,388,1,12,"30.00",25281,7434,5529,1905,29,10,5,"9.2000","8.2300","1.5800",715,690,25,147953,145126,2827,40,38,2,,,2157,3369,"0.2941","0.0039","0.0962","0.0523","0.7437","0.9650","0.9809","0.9500","0.9974","0.3901","""2026-04-24T06:41:31.000Z"""
"财经葛先生","7631922890652666664","倒车接人？还是倒车撞人？","""2026-04-23T11:58:52.000Z""","""2026-04-23T13:03:06.000Z""",64,1278,975,446,445,1,19,216,215,1,14,"22.00",28739,7506,5320,2186,26,15,9,"7.3800","6.6800","0.8800",535,519,16,192784,189417,3367,45,44,1,,,2020,3300,"0.2612","0.0035","0.0713","0.0288","0.7088","0.9701","0.9825","0.9778","0.9954","0.3797","""2026-04-24T06:42:51.000Z"""
"财经葛先生","7631799514996312882","倒车接人？还是倒车撞人？","""2026-04-23T04:00:09.000Z""","""2026-04-23T04:56:54.000Z""",56,1865,1547,815,815,0,20,461,461,0,19,"40.00",31917,8217,5818,2399,50,8,12,"9.6500","9.1800","1.2500",688,675,13,167162,165432,1730,22,19,3,,,2277,3541,"0.2574","0.0061","0.0837","0.0561","0.7080","0.9811","0.9897","0.8636","1.0000","0.3914","""2026-04-24T06:43:31.000Z"""
"财经葛先生","7631562439158434575","下午，A股会冲击4100点吗？","""2026-04-22T12:40:10.000Z""","""2026-04-22T13:32:33.000Z""",52,787,633,339,339,0,16,150,150,0,13,"16.00",19717,5249,3929,1320,18,9,8,"5.4000","5.1500","0.4200",431,427,4,46177,46174,3,30,30,0,,,1415,2514,"0.2662","0.0034","0.0821","0.0286","0.7485","0.9907","0.9999","1.0000","1.0000","0.3601","""2026-04-24T06:44:08.000Z"""
"财经葛先生","7631428971367844634","下午，A股会冲击4100点吗？","""2026-04-22T04:02:32.000Z""","""2026-04-22T04:58:12.000Z""",55,1304,1094,887,887,0,24,384,384,0,22,"44.00",20339,5806,4635,1171,14,5,8,"9.5800","8.5200","0.9000",577,575,2,106972,106136,836,11,8,3,,,2069,2566,"0.2855","0.0024","0.0994","0.0661","0.7983","0.9965","0.9922","0.7273","1.0000","0.4464","""2026-04-24T06:44:45.000Z"""
"财经葛先生","7631181321563147008","上涨结束？还是倒车接人？","""2026-04-21T12:01:12.000Z""","""2026-04-21T13:02:51.000Z""",61,1257,982,594,589,5,40,250,246,4,20,"29.00",27634,7732,5475,2257,31,8,12,"6.8000","6.1500","0.8700",637,622,15,92909,91194,1715,69,69,0,,,1941,3471,"0.2798","0.0040","0.0824","0.0323","0.7081","0.9765","0.9815","1.0000","0.9840","0.3545","""2026-04-21T14:19:16.000Z"""
"财经葛先生","7631057447345064750","上涨结束？还是倒车接人？","""2026-04-21T04:00:33.000Z""","""2026-04-21T04:55:30.000Z""",54,1360,1174,854,852,2,51,588,586,2,45,"42.00",21932,6544,4919,1625,15,10,14,"9.0000","8.4500","1.1200",562,553,9,59933,59672,261,7,7,0,,,2024,2893,"0.2984","0.0023","0.0859","0.0899","0.7517","0.9840","0.9956","1.0000","0.9966","0.4115","""2026-04-21T10:19:24.000Z"""
